Company,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,Funding,Select Investors,Year Joined,ROI,Duration to become Unicorn
Bytedance,1.80E+11,07-04-2017,Artificial Intelligence,Beijing,China,Asia,2012,8000000000,Sequoia Capital China,2017,21.5,5
SpaceX,1.80E+11,07-04-2017,Artificial Intelligence,Beijing,China,Asia,2012,8000000000,SIG Asia Investments,2017,21.5,5
SHEIN,1.80E+11,07-04-2017,Artificial Intelligence,Beijing,China,Asia,2012,8000000000,Sina Weibo,2017,21.5,5
Stripe,1.80E+11,07-04-2017,Artificial Intelligence,Beijing,China,Asia,2012,8000000000,Softbank Group,2017,21.5,5
Klarna,1.00E+11,01-12-2012,Other,Hawthorne,United States,North America,2002,7000000000,Founders Fund,2012,13.28571429,10
Canva,1.00E+11,01-12-2012,Other,Hawthorne,United States,North America,2002,7000000000,Draper Fisher Jurvetson,2012,13.28571429,10
Checkout.com,1.00E+11,01-12-2012,Other,Hawthorne,United States,North America,2002,7000000000,Rothenberg Ventures,2012,13.28571429,10
Instacart,1.00E+11,03-07-2018,E-commerce & direct-to-consumer,Shenzhen,China,Asia,2008,2000000000,Tiger Global Management,2018,49,10
JUUL Labs,1.00E+11,03-07-2018,E-commerce & direct-to-consumer,Shenzhen,China,Asia,2008,2000000000,Sequoia Capital China,2018,49,10
Databricks,1.00E+11,03-07-2018,E-commerce & direct-to-consumer,Shenzhen,China,Asia,2008,2000000000,Shunwei Capital Partners,2018,49,10
Revolut,95000000000,23-01-2014,Fintech,San Francisco,United States,North America,2010,2000000000,Khosla Ventures,2014,46.5,4
Epic Games,95000000000,23-01-2014,Fintech,San Francisco,United States,North America,2010,2000000000,LowercaseCapital,2014,46.5,4
FTX,95000000000,23-01-2014,Fintech,San Francisco,United States,North America,2010,2000000000,capitalG,2014,46.5,4
Fanatics,46000000000,12-12-2011,Fintech,Stockholm,Sweden,Europe,2005,4000000000,Institutional Venture Partners,2011,10.5,6
Chime,46000000000,12-12-2011,Fintech,Stockholm,Sweden,Europe,2005,4000000000,Sequoia Capital,2011,10.5,6
BYJU's,46000000000,12-12-2011,Fintech,Stockholm,Sweden,Europe,2005,4000000000,General Atlantic,2011,10.5,6
J&T Express,40000000000,08-01-2018,Internet software & services,Surry Hills,Australia,Oceania,2012,572000000,Sequoia Capital China,2018,68.93006993,6
Xiaohongshu,40000000000,08-01-2018,Internet software & services,Surry Hills,Australia,Oceania,2012,572000000,Blackbird Ventures,2018,68.93006993,6
Miro,40000000000,08-01-2018,Internet software & services,Surry Hills,Australia,Oceania,2012,572000000,Matrix Partners,2018,68.93006993,6
Yuanfudao,40000000000,02-05-2019,Fintech,London,United Kingdom,Europe,2012,2000000000,Tiger Global Management,2019,19,7
Rapyd,40000000000,02-05-2019,Fintech,London,United Kingdom,Europe,2012,2000000000,Insight Partners,2019,19,7
Discord,40000000000,02-05-2019,Fintech,London,United Kingdom,Europe,2012,2000000000,DST Global,2019,19,7
Genki Forest,39000000000,30-12-2014,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2012,3000000000,Khosla Ventures,2014,12,2
goPuff,39000000000,30-12-2014,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2012,3000000000,Kleiner Perkins Caufield & Byers,2014,12,2
Blockchain.com,39000000000,30-12-2014,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2012,3000000000,Collaborative Fund,2014,12,2
Plaid,38000000000,20-12-2017,Consumer & retail,San Francisco,United States,North America,2015,14000000000,Tiger Global Management,2017,1.714285714,2
Devoted Health,38000000000,05-02-2019,Data management & analytics,San Francisco,United States,North America,2013,3000000000,Andreessen Horowitz,2019,11.66666667,6
OpenSea,38000000000,05-02-2019,Data management & analytics,San Francisco,United States,North America,2013,3000000000,New Enterprise Associates,2019,11.66666667,6
Grammarly,38000000000,05-02-2019,Data management & analytics,San Francisco,United States,North America,2013,3000000000,Battery Ventures,2019,11.66666667,6
Argo AI,33000000000,26-04-2018,Fintech,London,United Kingdom,Europe,2015,2000000000,index Ventures,2018,15.5,3
Northvolt,33000000000,26-04-2018,Fintech,London,United Kingdom,Europe,2015,2000000000,DST Global,2018,15.5,3
Faire,33000000000,26-04-2018,Fintech,London,United Kingdom,Europe,2015,2000000000,Ribbit Capital,2018,15.5,3
Airtable,32000000000,26-10-2018,Other,Cary,United States,North America,1991,7000000000,Tencent Holdings,2018,3.571428571,27
Brex,32000000000,26-10-2018,Other,Cary,United States,North America,1991,7000000000,KKR,2018,3.571428571,27
Getir,32000000000,26-10-2018,Other,Cary,United States,North America,1991,7000000000,Smash Ventures,2018,3.571428571,27
Biosplice Therapeutics,32000000000,20-07-2021,Fintech,,Bahamas,North America,2018,2000000000,Sequoia Capital,2021,15,3
Bitmain,32000000000,20-07-2021,Fintech,,Bahamas,North America,2018,2000000000,Thoma Bravo,2021,15,3
GoodLeap,32000000000,20-07-2021,Fintech,,Bahamas,North America,2018,2000000000,Softbank,2021,15,3
Xingsheng Selected,27000000000,06-06-2012,E-commerce & direct-to-consumer,Jacksonville,United States,North America,2002,4000000000,SoftBank Group,2012,5.75,10
ZongMu Technology,27000000000,06-06-2012,E-commerce & direct-to-consumer,Jacksonville,United States,North America,2002,4000000000,Andreessen Horowitz,2012,5.75,10
Bolt (Estonia),27000000000,06-06-2012,E-commerce & direct-to-consumer,Jacksonville,United States,North America,2002,4000000000,Temasek Holdings,2012,5.75,10
Swiggy,25000000000,05-03-2019,Fintech,San Francisco,United States,North America,2013,2000000000,Forerunner Ventures,2019,11.5,6
Weilong Foods,25000000000,05-03-2019,Fintech,San Francisco,United States,North America,2013,2000000000,Crosslink Capital,2019,11.5,6
Global Switch,25000000000,05-03-2019,Fintech,San Francisco,United States,North America,2013,2000000000,Homebrew,2019,11.5,6
Bolt (United States),22000000000,25-07-2017,Edtech,Bengaluru,India,Asia,2008,4000000000,Tencent Holdings,2017,4.5,9
Celonis,22000000000,25-07-2017,Edtech,Bengaluru,India,Asia,2008,4000000000,Lightspeed India Partners,2017,4.5,9
Zuoyebang,22000000000,25-07-2017,Edtech,Bengaluru,India,Asia,2008,4000000000,Sequoia Capital India,2017,4.5,9
Ripple,20000000000,07-04-2021,"Supply chain, logistics, & delivery",Jakarta,Indonesia,Asia,2015,5000000000,Hillhouse Capital Management,2021,3,6
OYO Rooms,20000000000,07-04-2021,"Supply chain, logistics, & delivery",Jakarta,Indonesia,Asia,2015,5000000000,Boyu Capital,2021,3,6
OutSystems,20000000000,07-04-2021,"Supply chain, logistics, & delivery",Jakarta,Indonesia,Asia,2015,5000000000,Sequoia Capital China,2021,3,6
ServiceTitan,20000000000,31-03-2016,E-commerce & direct-to-consumer,Shanghai,China,Asia,2013,918000000,GGV Capital,2016,20.78649237,3
Alchemy,20000000000,31-03-2016,E-commerce & direct-to-consumer,Shanghai,China,Asia,2013,918000000,ZhenFund,2016,20.78649237,3
Chehaoduo,20000000000,31-03-2016,E-commerce & direct-to-consumer,Shanghai,China,Asia,2013,918000000,Tencent,2016,20.78649237,3
Digital Currency Group,18000000000,05-01-2022,Internet software & services,San Francisco,United States,North America,2011,476000000,Accel,2022,36.81512605,11
Figma,18000000000,05-01-2022,Internet software & services,San Francisco,United States,North America,2011,476000000,AltaIR Capital,2022,36.81512605,11
Gusto,18000000000,05-01-2022,Internet software & services,San Francisco,United States,North America,2011,476000000,Technology Crossover Ventures,2022,36.81512605,11
Lalamove,17000000000,31-05-2017,Edtech,Beijing,China,Asia,2012,4000000000,Tencent Holdings,2017,3.25,5
Notion Labs,17000000000,31-05-2017,Edtech,Beijing,China,Asia,2012,4000000000,Warbug Pincus,2017,3.25,5
reddit,17000000000,31-05-2017,Edtech,Beijing,China,Asia,2012,4000000000,IDG Capital,2017,3.25,5
Talkdesk,15000000000,03-12-2019,Fintech,London,United Kingdom,Europe,2016,770000000,Target Global,2019,18.48051948,3
Thrasio,15000000000,03-12-2019,Fintech,London,United Kingdom,Europe,2016,770000000,General Catalyst,2019,18.48051948,3
Dunamu,15000000000,03-12-2019,Fintech,London,United Kingdom,Europe,2016,770000000,Durable Capital Partners,2019,18.48051948,3
Yanolja,15000000000,20-04-2018,Internet software & services,San Francisco,United States,North America,2012,979000000,Benchmark,2018,14.32175689,6
Pony.ai,15000000000,20-04-2018,Internet software & services,San Francisco,United States,North America,2012,979000000,Greylock Partners,2018,14.32175689,6
Nuro,15000000000,20-04-2018,Internet software & services,San Francisco,United States,North America,2012,979000000,Tencent Holdings,2018,14.32175689,6
Snyk,15000000000,01-03-2020,Consumer & retail,Beijing,China,Asia,2016,721000000,Sequoia Capital China,2020,19.80443828,4
Kavak,15000000000,01-03-2020,Consumer & retail,Beijing,China,Asia,2016,721000000,Longfor Capitalm,2020,19.80443828,4
N26,15000000000,01-03-2020,Consumer & retail,Beijing,China,Asia,2016,721000000,Gaorong Capital,2020,19.80443828,4
Klaviyo,15000000000,08-10-2020,E-commerce & direct-to-consumer,Philadelphia,United States,North America,2013,3000000000,Accel,2020,4,7
Niantic,15000000000,08-10-2020,E-commerce & direct-to-consumer,Philadelphia,United States,North America,2013,3000000000,Softbank Group,2020,4,7
Tanium,15000000000,08-10-2020,E-commerce & direct-to-consumer,Philadelphia,United States,North America,2013,3000000000,Anthos Capital,2020,4,7
Dream11,14000000000,17-02-2021,Fintech,London,United Kingdom,Europe,2011,490000000,Lightspeed Venture Partners,2021,27.57142857,10
DJI Innovations,14000000000,17-02-2021,Fintech,London,United Kingdom,Europe,2011,490000000,Google Ventures,2021,27.57142857,10
Netskope,14000000000,17-02-2021,Fintech,London,United Kingdom,Europe,2011,490000000,Lakestar,2021,27.57142857,10
Razorpay,13000000000,11-12-2018,Fintech,San Francisco,United States,North America,2012,734000000,New Enterprise Associates,2018,16.71117166,6
Dapper Labs,13000000000,11-12-2018,Fintech,San Francisco,United States,North America,2012,734000000,Spar Capital,2018,16.71117166,6
Lacework,13000000000,11-12-2018,Fintech,San Francisco,United States,North America,2012,734000000,Index Ventures,2018,16.71117166,6
Tipalti,13000000000,16-10-2018,Health,Waltham,United States,North America,2017,2000000000,Andreessen Horowitz,2018,5.5,1
Hopin,13000000000,16-10-2018,Health,Waltham,United States,North America,2017,2000000000,F-Prime Capital,2018,5.5,1
